state,zipcode,airtel_share_apr,jio_share_apr,idea_share_apr,vodafone_share_apr,airtel_share_may,jio_share_may,idea_share_may,vodafone_share_may,airtel_growth,jio_growth,idea_growth,vodafone_growth
ANDHRA PRADESH,524223,,,,,,,,,,,,
ANDHRA PRADESH,524224,,,,,,,,,,,,
ANDHRA PRADESH,524225,,,,,,,,,,,,
ANDHRA PRADESH,524226,,,,,,,,,,,,
ANDHRA PRADESH,524227,,,,,,,,,,,,
ANDHRA PRADESH,524228,63%,34%,2%,1%,,,,,,,,
ANDHRA PRADESH,524230,,,,,,,,,,,,
ANDHRA PRADESH,524234,,,,,,,,,,,,
ANDHRA PRADESH,524236,,,,,,,,,,,,
ANDHRA PRADESH,524239,,,,,,,,,,,,
ANDHRA PRADESH,524240,,,,,,,,,,,,
ANDHRA PRADESH,524301,,,,,,,,,,,,
ANDHRA PRADESH,524302,,,,,,,,,,,,
ANDHRA PRADESH,524303,,,,,,,,,,,,
ANDHRA PRADESH,524304,,,,,,,,,,,,
ANDHRA PRADESH,524305,13%,76%,10%,2%,,,,,,,,
ANDHRA PRADESH,524306,,,,,11%,82%,8%,0%,,,,
ANDHRA PRADESH,524307,,,,,,,,,,,,
ANDHRA PRADESH,524308,,,,,,,,,,,,
ANDHRA PRADESH,524309,20%,67%,12%,2%,,,,,,,,
ANDHRA PRADESH,524310,,,,,,,,,,,,
ANDHRA PRADESH,524311,,,,,,,,,,,,
ANDHRA PRADESH,524312,,,,,,,,,,,,
ANDHRA PRADESH,524313,,,,,,,,,,,,
ANDHRA PRADESH,524314,,,,,,,,,,,,
ANDHRA PRADESH,524316,,,,,,,,,,,,
ANDHRA PRADESH,524317,18%,73%,5%,5%,,,,,,,,
ANDHRA PRADESH,524323,,,,,,,,,,,,
ANDHRA PRADESH,524341,,,,,,,,,,,,
ANDHRA PRADESH,524342,,,,,,,,,,,,
ANDHRA PRADESH,524343,,,,,,,,,,,,
ANDHRA PRADESH,524345,,,,,,,,,,,,
ANDHRA PRADESH,524346,,,,,,,,,,,,
ANDHRA PRADESH,524366,,,,,,,,,,,,
ANDHRA PRADESH,524401,,,,,,,,,,,,
ANDHRA PRADESH,524402,,,,,9%,68%,21%,3%,,,,
ANDHRA PRADESH,524403,,,,,,,,,,,,
ANDHRA PRADESH,524404,,,,,,,,,,,,
ANDHRA PRADESH,524405,,,,,18%,75%,7%,1%,,,,
ANDHRA PRADESH,524406,37%,49%,12%,2%,,,,,,,,
ANDHRA PRADESH,524407,,,,,,,,,,,,
ANDHRA PRADESH,524408,,,,,47%,40%,10%,3%,,,,
ANDHRA PRADESH,524409,,,,,,,,,,,,
ANDHRA PRADESH,524410,25%,26%,3%,46%,,,,,,,,
ANDHRA PRADESH,524411,,,,,,,,,,,,
ANDHRA PRADESH,524413,,,,,,,,,,,,
ANDHRA PRADESH,524414,,,,,,,,,,,,
ANDHRA PRADESH,524415,,,,,,,,,,,,
ANDHRA PRADESH,524421,,,,,,,,,,,,
ANDHRA PRADESH,530003,,,,,35%,45%,20%,0%,,,,
ANDHRA PRADESH,530005,,,,,,,,,,,,
ANDHRA PRADESH,530006,,,,,,,,,,,,
ANDHRA PRADESH,530007,,,,,71%,21%,8%,0%,,,,
ANDHRA PRADESH,530009,,,,,25%,68%,6%,1%,,,,
ANDHRA PRADESH,530012,16%,67%,16%,0%,,,,,,,,
ANDHRA PRADESH,530014,,,,,47%,37%,16%,0%,,,,
ANDHRA PRADESH,530016,,,,,43%,49%,9%,0%,,,,
ANDHRA PRADESH,530017,,,,,22%,66%,11%,1%,,,,
ANDHRA PRADESH,530019,,,,,10%,78%,11%,1%,,,,
ANDHRA PRADESH,530029,,,,,14%,81%,5%,0%,,,,
ANDHRA PRADESH,530031,,,,,,,,,,,,
ANDHRA PRADESH,530032,19%,61%,19%,1%,,,,,,,,
ANDHRA PRADESH,530042,17%,70%,11%,2%,,,,,,,,
ANDHRA PRADESH,530043,,,,,17%,66%,17%,0%,,,,
ANDHRA PRADESH,530047,,,,,,,,,,,,
ANDHRA PRADESH,531001,,,,,14%,72%,14%,0%,,,,
ANDHRA PRADESH,531002,,,,,,,,,,,,
ANDHRA PRADESH,531011,,,,,,,,,,,,
ANDHRA PRADESH,531019,,,,,16%,66%,16%,1%,,,,
ANDHRA PRADESH,531020,,,,,,,,,,,,
ANDHRA PRADESH,531021,,,,,29%,55%,15%,1%,,,,
ANDHRA PRADESH,531022,,,,,,,,,,,,
ANDHRA PRADESH,531023,,,,,,,,,,,,
ANDHRA PRADESH,531024,,,,,,,,,,,,
ANDHRA PRADESH,531025,,,,,,,,,,,,
ANDHRA PRADESH,531026,7%,44%,44%,4%,,,,,,,,
ANDHRA PRADESH,531027,,,,,,,,,,,,
ANDHRA PRADESH,531028,,,,,,,,,,,,
ANDHRA PRADESH,531029,,,,,,,,,,,,
ANDHRA PRADESH,531030,,,,,,,,,,,,
ANDHRA PRADESH,531031,,,,,,,,,,,,
ANDHRA PRADESH,531032,23%,60%,17%,1%,,,,,,,,
ANDHRA PRADESH,531034,,,,,,,,,,,,
ANDHRA PRADESH,531036,,,,,5%,58%,33%,4%,,,,
ANDHRA PRADESH,531049,,,,,,,,,,,,
ANDHRA PRADESH,531060,,,,,20%,70%,5%,5%,,,,
ANDHRA PRADESH,531061,,,,,,,,,,,,
ANDHRA PRADESH,531075,,,,,,,,,,,,
ANDHRA PRADESH,531081,,,,,,,,,,,,
ANDHRA PRADESH,531082,,,,,,,,,,,,
ANDHRA PRADESH,531083,37%,52%,10%,1%,,,,,,,,
ANDHRA PRADESH,531084,,,,,,,,,,,,
ANDHRA PRADESH,531085,,,,,,,,,,,,
ANDHRA PRADESH,531113,,,,,50%,11%,37%,1%,,,,
ANDHRA PRADESH,531114,,,,,,,,,,,,
ANDHRA PRADESH,531115,,,,,,,,,,,,
ANDHRA PRADESH,531117,,,,,29%,63%,7%,1%,,,,
ANDHRA PRADESH,531127,,,,,,,,,,,,
ANDHRA PRADESH,531149,,,,,,,,,,,,
ANDHRA PRADESH,531151,,,,,,,,,,,,
ANDHRA PRADESH,531162,,,,,,,,,,,,
ANDHRA PRADESH,531219,34%,56%,10%,1%,,,,,,,,
ANDHRA PRADESH,532005,,,,,18%,66%,15%,1%,,,,
ANDHRA PRADESH,532122,,,,,,,,,,,,
ANDHRA PRADESH,532123,,,,,33%,48%,14%,5%,,,,
ANDHRA PRADESH,532127,,,,,,,,,,,,
ANDHRA PRADESH,532148,,,,,,,,,,,,
ANDHRA PRADESH,532168,,,,,,,,,,,,
ANDHRA PRADESH,532185,,,,,,,,,,,,
ANDHRA PRADESH,532190,,,,,,,,,,,,
ANDHRA PRADESH,532195,,,,,16%,60%,24%,1%,,,,
ANDHRA PRADESH,532201,,,,,,,,,,,,
ANDHRA PRADESH,532211,,,,,,,,,,,,
ANDHRA PRADESH,532213,,,,,,,,,,,,
ANDHRA PRADESH,532214,,,,,,,,,,,,
ANDHRA PRADESH,532215,,,,,,,,,,,,
ANDHRA PRADESH,532216,,,,,,,,,,,,
ANDHRA PRADESH,532218,,,,,,,,,,,,
ANDHRA PRADESH,532219,,,,,,,,,,,,
ANDHRA PRADESH,532220,,,,,,,,,,,,
ANDHRA PRADESH,532221,,,,,13%,81%,6%,1%,,,,
ANDHRA PRADESH,532222,46%,51%,2%,2%,,,,,,,,
ANDHRA PRADESH,532242,,,,,,,,,,,,
ANDHRA PRADESH,532243,,,,,32%,62%,4%,1%,,,,
ANDHRA PRADESH,532263,,,,,,,,,,,,
ANDHRA PRADESH,532264,,,,,,,,,,,,
ANDHRA PRADESH,532284,,,,,19%,59%,22%,0%,,,,
ANDHRA PRADESH,532290,,,,,,,,,,,,
ANDHRA PRADESH,532291,,,,,,,,,,,,
ANDHRA PRADESH,532292,,,,,,,,,,,,
ANDHRA PRADESH,532312,,,,,21%,47%,32%,0%,,,,
ANDHRA PRADESH,532322,,,,,38%,52%,7%,2%,,,,
ANDHRA PRADESH,532401,,,,,,,,,,,,
ANDHRA PRADESH,532402,31%,51%,17%,1%,,,,,,,,
ANDHRA PRADESH,532403,,,,,,,,,,,,
ANDHRA PRADESH,532404,,,,,,,,,,,,
ANDHRA PRADESH,532405,,,,,,,,,,,,
ANDHRA PRADESH,532406,,,,,,,,,,,,
ANDHRA PRADESH,532407,,,,,,,,,,,,
ANDHRA PRADESH,532408,,,,,,,,,,,,
ANDHRA PRADESH,532409,,,,,,,,,,,,
ANDHRA PRADESH,532410,,,,,,,,,,,,
ANDHRA PRADESH,532421,,,,,29%,49%,22%,0%,,,,
ANDHRA PRADESH,532425,,,,,,,,,,,,
ANDHRA PRADESH,532426,,,,,,,,,,,,
ANDHRA PRADESH,532427,,,,,,,,,,,,
ANDHRA PRADESH,532428,,,,,,,,,,,,
ANDHRA PRADESH,532429,24%,56%,16%,4%,,,,,,,,
ANDHRA PRADESH,532430,,,,,,,,,,,,
ANDHRA PRADESH,532432,37%,62%,0%,0%,,,,,,,,
ANDHRA PRADESH,532440,,,,,,,,,,,,
ANDHRA PRADESH,532443,,,,,,,,,,,,
ANDHRA PRADESH,532445,,,,,,,,,,,,
ANDHRA PRADESH,532455,,,,,28%,64%,7%,1%,,,,
ANDHRA PRADESH,532456,,,,,,,,,,,,
ANDHRA PRADESH,532457,,,,,,,,,,,,
ANDHRA PRADESH,532458,,,,,,,,,,,,
ANDHRA PRADESH,532459,,,,,,,,,,,,
ANDHRA PRADESH,532460,,,,,,,,,,,,
ANDHRA PRADESH,532461,,,,,,,,,,,,
ANDHRA PRADESH,532462,,,,,,,,,,,,
ANDHRA PRADESH,532474,,,,,,,,,,,,
ANDHRA PRADESH,532484,,,,,,,,,,,,
ANDHRA PRADESH,533002,,,,,,,,,,,,
ANDHRA PRADESH,533003,37%,48%,14%,1%,,,,,,,,
ANDHRA PRADESH,533004,,,,,19%,60%,21%,0%,,,,
ANDHRA PRADESH,533005,,,,,,,,,,,,
ANDHRA PRADESH,533006,,,,,,,,,,,,
ANDHRA PRADESH,533016,16%,74%,10%,0%,,,,,,,,
ANDHRA PRADESH,533102,,,,,16%,53%,31%,0%,,,,
ANDHRA PRADESH,533104,37%,44%,15%,4%,,,,,,,,
ANDHRA PRADESH,533105,,,,,31%,39%,29%,1%,,,,
ANDHRA PRADESH,533107,,,,,19%,64%,17%,0%,,,,
ANDHRA PRADESH,533124,15%,75%,9%,1%,,,,,,,,
ANDHRA PRADESH,533125,,,,,,,,,,,,
ANDHRA PRADESH,533126,,,,,53%,36%,10%,1%,,,,
ANDHRA PRADESH,533201,,,,,27%,61%,12%,0%,,,,
ANDHRA PRADESH,533210,,,,,29%,58%,10%,3%,,,,
ANDHRA PRADESH,533211,,,,,31%,17%,51%,2%,,,,
ANDHRA PRADESH,533212,,,,,,,,,,,,
ANDHRA PRADESH,533213,,,,,,,,,,,,
ANDHRA PRADESH,533214,,,,,,,,,,,,
ANDHRA PRADESH,533215,20%,40%,33%,7%,,,,,,,,
ANDHRA PRADESH,533216,31%,39%,15%,15%,,,,,,,,
ANDHRA PRADESH,533217,,,,,,,,,,,,
ANDHRA PRADESH,533218,,,,,,,,,,,,
ANDHRA PRADESH,533220,,,,,,,,,,,,
ANDHRA PRADESH,533221,,,,,,,,,,,,
ANDHRA PRADESH,533222,,,,,,,,,,,,
ANDHRA PRADESH,533223,,,,,39%,39%,19%,3%,,,,
ANDHRA PRADESH,533228,,,,,,,,,,,,
ANDHRA PRADESH,533229,,,,,,,,,,,,
ANDHRA PRADESH,533232,,,,,,,,,,,,
ANDHRA PRADESH,533233,,,,,,,,,,,,
ANDHRA PRADESH,533234,,,,,,,,,,,,
ANDHRA PRADESH,533235,,,,,,,,,,,,
ANDHRA PRADESH,533236,,,,,,,,,,,,
ANDHRA PRADESH,533237,,,,,,,,,,,,
ANDHRA PRADESH,533238,52%,43%,4%,0%,,,,,,,,
ANDHRA PRADESH,533239,,,,,,,,,,,,
ANDHRA PRADESH,533240,,,,,,,,,,,,
ANDHRA PRADESH,533241,,,,,,,,,,,,
ANDHRA PRADESH,533242,,,,,,,,,,,,
ANDHRA PRADESH,533244,,,,,8%,72%,18%,1%,,,,
ANDHRA PRADESH,533247,,,,,,,,,,,,
ANDHRA PRADESH,533248,,,,,,,,,,,,
ANDHRA PRADESH,533249,,,,,41%,29%,28%,1%,,,,
ANDHRA PRADESH,533250,,,,,,,,,,,,
ANDHRA PRADESH,533251,,,,,,,,,,,,
ANDHRA PRADESH,533252,40%,53%,6%,2%,,,,,,,,
ANDHRA PRADESH,533253,,,,,,,,,,,,
ANDHRA PRADESH,533254,,,,,,,,,,,,
ANDHRA PRADESH,533255,16%,60%,23%,1%,,,,,,,,
ANDHRA PRADESH,533260,,,,,,,,,,,,
ANDHRA PRADESH,533261,,,,,,,,,,,,
ANDHRA PRADESH,533262,,,,,,,,,,,,
ANDHRA PRADESH,533263,,,,,,,,,,,,
ANDHRA PRADESH,533264,,,,,,,,,,,,
ANDHRA PRADESH,533274,56%,39%,4%,2%,,,,,,,,
ANDHRA PRADESH,533284,,,,,,,,,,,,
ANDHRA PRADESH,533285,,,,,,,,,,,,
ANDHRA PRADESH,533286,,,,,,,,,,,,
ANDHRA PRADESH,533287,,,,,,,,,,,,
ANDHRA PRADESH,533288,,,,,,,,,,,,
ANDHRA PRADESH,533289,,,,,,,,,,,,
ANDHRA PRADESH,533290,,,,,,,,,,,,
ANDHRA PRADESH,533291,,,,,,,,,,,,
ANDHRA PRADESH,533292,,,,,,,,,,,,
ANDHRA PRADESH,533293,,,,,,,,,,,,
ANDHRA PRADESH,533294,,,,,,,,,,,,
ANDHRA PRADESH,533296,,,,,,,,,,,,
ANDHRA PRADESH,533305,,,,,,,,,,,,
ANDHRA PRADESH,533306,,,,,,,,,,,,
ANDHRA PRADESH,533307,,,,,,,,,,,,
ANDHRA PRADESH,533308,,,,,45%,50%,5%,0%,,,,
ANDHRA PRADESH,533339,,,,,,,,,,,,
ANDHRA PRADESH,533340,,,,,,,,,,,,
ANDHRA PRADESH,533342,,,,,,,,,,,,
ANDHRA PRADESH,533343,,,,,,,,,,,,
ANDHRA PRADESH,533344,,,,,,,,,,,,
ANDHRA PRADESH,533345,,,,,,,,,,,,
ANDHRA PRADESH,533346,,,,,,,,,,,,
ANDHRA PRADESH,533406,,,,,5%,15%,79%,1%,,,,
ANDHRA PRADESH,533407,,,,,,,,,,,,
ANDHRA PRADESH,533408,,,,,,,,,,,,
ANDHRA PRADESH,533428,,,,,,,,,,,,
ANDHRA PRADESH,533429,,,,,,,,,,,,
ANDHRA PRADESH,533430,,,,,44%,44%,11%,1%,,,,
ANDHRA PRADESH,533431,68%,24%,7%,1%,,,,,,,,
ANDHRA PRADESH,533432,,,,,,,,,,,,
ANDHRA PRADESH,533433,,,,,,,,,,,,
ANDHRA PRADESH,533434,,,,,,,,,,,,
ANDHRA PRADESH,533435,,,,,,,,,,,,
ANDHRA PRADESH,533436,,,,,,,,,,,,
ANDHRA PRADESH,533437,,,,,24%,70%,6%,0%,,,,
ANDHRA PRADESH,533440,,,,,,,,,,,,
ANDHRA PRADESH,533445,,,,,,,,,,,,
ANDHRA PRADESH,533446,,,,,,,,,,,,
ANDHRA PRADESH,533447,,,,,,,,,,,,
ANDHRA PRADESH,533448,,,,,,,,,,,,
ANDHRA PRADESH,533449,14%,47%,38%,1%,,,,,,,,
ANDHRA PRADESH,533450,,,,,,,,,,,,
ANDHRA PRADESH,533461,,,,,,,,,,,,
ANDHRA PRADESH,533462,,,,,,,,,,,,
ANDHRA PRADESH,533463,,,,,,,,,,,,
ANDHRA PRADESH,533464,,,,,25%,60%,15%,0%,,,,
ANDHRA PRADESH,533468,,,,,10%,31%,58%,1%,,,,
ANDHRA PRADESH,533577,,,,,,,,,,,,
ANDHRA PRADESH,534001,,,,,,,,,,,,
ANDHRA PRADESH,534003,,,,,,,,,,,,
ANDHRA PRADESH,534004,,,,,,,,,,,,
ANDHRA PRADESH,534005,,,,,,,,,,,,
ANDHRA PRADESH,534006,,,,,,,,,,,,
ANDHRA PRADESH,534007,,,,,,,,,,,,
ANDHRA PRADESH,534015,,,,,,,,,,,,
ANDHRA PRADESH,534102,14%,76%,7%,3%,,,,,,,,
ANDHRA PRADESH,534111,,,,,,,,,,,,
ANDHRA PRADESH,534112,,,,,,,,,,,,
ANDHRA PRADESH,534122,,,,,,,,,,,,
ANDHRA PRADESH,534123,,,,,,,,,,,,
ANDHRA PRADESH,534124,,,,,,,,,,,,
ANDHRA PRADESH,534126,,,,,,,,,,,,
ANDHRA PRADESH,534131,,,,,,,,,,,,
ANDHRA PRADESH,534134,,,,,,,,,,,,
ANDHRA PRADESH,534136,,,,,,,,,,,,
ANDHRA PRADESH,534145,13%,47%,33%,7%,,,,,,,,
ANDHRA PRADESH,534146,,,,,,,,,,,,
ANDHRA PRADESH,534156,,,,,,,,,,,,
ANDHRA PRADESH,534165,,,,,,,,,,,,
ANDHRA PRADESH,534166,,,,,,,,,,,,
ANDHRA PRADESH,534176,,,,,,,,,,,,
ANDHRA PRADESH,534186,,,,,,,,,,,,
ANDHRA PRADESH,534195,,,,,,,,,,,,
ANDHRA PRADESH,534196,,,,,,,,,,,,
ANDHRA PRADESH,534197,,,,,,,,,,,,
ANDHRA PRADESH,534198,,,,,,,,,,,,
ANDHRA PRADESH,534199,,,,,,,,,,,,
ANDHRA PRADESH,534201,,,,,,,,,,,,
ANDHRA PRADESH,534204,,,,,,,,,,,,
ANDHRA PRADESH,534206,,,,,,,,,,,,
ANDHRA PRADESH,534207,,,,,,,,,,,,
ANDHRA PRADESH,534208,,,,,,,,,,,,
ANDHRA PRADESH,534209,,,,,,,,,,,,
ANDHRA PRADESH,534210,,,,,,,,,,,,
ANDHRA PRADESH,534211,,,,,26%,65%,9%,1%,,,,
ANDHRA PRADESH,534215,,,,,,,,,,,,
ANDHRA PRADESH,534216,9%,70%,20%,1%,,,,,,,,
ANDHRA PRADESH,534217,,,,,,,,,,,,
ANDHRA PRADESH,534218,,,,,,,,,,,,
ANDHRA PRADESH,534222,,,,,,,,,,,,
ANDHRA PRADESH,534225,,,,,,,,,,,,
ANDHRA PRADESH,534227,,,,,,,,,,,,
ANDHRA PRADESH,534229,23%,58%,15%,4%,,,,,,,,
ANDHRA PRADESH,534230,,,,,,,,,,,,
ANDHRA PRADESH,534235,,,,,,,,,,,,
ANDHRA PRADESH,534236,,,,,,,,,,,,
ANDHRA PRADESH,534237,,,,,,,,,,,,
ANDHRA PRADESH,534238,,,,,59%,15%,19%,7%,,,,
ANDHRA PRADESH,534239,,,,,15%,70%,10%,5%,,,,
ANDHRA PRADESH,534240,,,,,,,,,,,,
ANDHRA PRADESH,534243,,,,,,,,,,,,
ANDHRA PRADESH,534244,,,,,,,,,,,,
ANDHRA PRADESH,534245,,,,,,,,,,,,
ANDHRA PRADESH,534247,,,,,,,,,,,,
ANDHRA PRADESH,534250,,,,,17%,64%,19%,1%,,,,
ANDHRA PRADESH,534251,,,,,,,,,,,,
ANDHRA PRADESH,534260,,,,,,,,,,,,
ANDHRA PRADESH,534265,,,,,,,,,,,,
ANDHRA PRADESH,534266,,,,,,,,,,,,
ANDHRA PRADESH,534267,,,,,,,,,,,,
ANDHRA PRADESH,534268,,,,,,,,,,,,
ANDHRA PRADESH,534269,,,,,,,,,,,,
ANDHRA PRADESH,534272,,,,,,,,,,,,
ANDHRA PRADESH,534275,,,,,,,,,,,,
ANDHRA PRADESH,534280,,,,,,,,,,,,
ANDHRA PRADESH,534281,,,,,48%,41%,10%,1%,,,,
ANDHRA PRADESH,534301,23%,59%,17%,0%,,,,,,,,
ANDHRA PRADESH,534302,,,,,,,,,,,,
ANDHRA PRADESH,534305,,,,,,,,,,,,
ANDHRA PRADESH,534311,,,,,,,,,,,,
ANDHRA PRADESH,534313,,,,,,,,,,,,
ANDHRA PRADESH,534315,,,,,,,,,,,,
ANDHRA PRADESH,534318,,,,,,,,,,,,
ANDHRA PRADESH,534320,,,,,,,,,,,,
ANDHRA PRADESH,534324,,,,,,,,,,,,
ANDHRA PRADESH,534326,,,,,,,,,,,,
ANDHRA PRADESH,534327,,,,,,,,,,,,
ANDHRA PRADESH,534328,,,,,,,,,,,,
ANDHRA PRADESH,534330,,,,,,,,,,,,
ANDHRA PRADESH,534331,,,,,,,,,,,,
ANDHRA PRADESH,534338,,,,,,,,,,,,
ANDHRA PRADESH,534340,,,,,,,,,,,,
ANDHRA PRADESH,534341,,,,,,,,,,,,
ANDHRA PRADESH,534342,,,,,,,,,,,,
ANDHRA PRADESH,534350,22%,61%,16%,1%,,,,,,,,
ANDHRA PRADESH,534401,,,,,,,,,,,,
ANDHRA PRADESH,534406,,,,,36%,36%,26%,1%,,,,
ANDHRA PRADESH,534411,,,,,38%,38%,22%,2%,,,,
ANDHRA PRADESH,534416,,,,,,,,,,,,
ANDHRA PRADESH,534425,,,,,,,,,,,,
ANDHRA PRADESH,534426,,,,,,,,,,,,
ANDHRA PRADESH,534427,,,,,,,,,,,,
ANDHRA PRADESH,534432,,,,,,,,,,,,
ANDHRA PRADESH,534437,,,,,,,,,,,,
ANDHRA PRADESH,534442,11%,78%,6%,6%,,,,,,,,
ANDHRA PRADESH,534448,,,,,,,,,,,,
ANDHRA PRADESH,534449,,,,,,,,,,,,
ANDHRA PRADESH,534450,,,,,,,,,,,,
ANDHRA PRADESH,534451,,,,,,,,,,,,
ANDHRA PRADESH,534452,19%,60%,19%,2%,,,,,,,,
ANDHRA PRADESH,534460,,,,,,,,,,,,
ANDHRA PRADESH,534461,,,,,,,,,,,,
ANDHRA PRADESH,534462,,,,,,,,,,,,
ANDHRA PRADESH,534463,,,,,,,,,,,,
ANDHRA PRADESH,534467,,,,,,,,,,,,
ANDHRA PRADESH,535001,,,,,,,,,,,,
ANDHRA PRADESH,535002,,,,,17%,68%,14%,2%,,,,
ANDHRA PRADESH,535003,,,,,14%,75%,10%,0%,,,,
ANDHRA PRADESH,535004,15%,70%,14%,1%,,,,,,,,
ANDHRA PRADESH,535005,,,,,,,,,,,,
ANDHRA PRADESH,535101,,,,,,,,,,,,
ANDHRA PRADESH,535102,29%,35%,29%,6%,,,,,,,,
ANDHRA PRADESH,535124,,,,,,,,,,,,
ANDHRA PRADESH,535125,,,,,,,,,,,,
ANDHRA PRADESH,535126,,,,,,,,,,,,
ANDHRA PRADESH,535145,,,,,,,,,,,,
ANDHRA PRADESH,535148,,,,,,,,,,,,
ANDHRA PRADESH,535160,,,,,,,,,,,,
ANDHRA PRADESH,535161,,,,,,,,,,,,
ANDHRA PRADESH,535183,23%,66%,11%,0%,,,,,,,,
ANDHRA PRADESH,535204,,,,,17%,57%,25%,1%,,,,
ANDHRA PRADESH,535213,,,,,,,,,,,,
ANDHRA PRADESH,535214,,,,,,,,,,,,
ANDHRA PRADESH,535215,,,,,58%,25%,15%,2%,,,,
ANDHRA PRADESH,535216,,,,,,,,,,,,
ANDHRA PRADESH,535218,,,,,,,,,,,,
ANDHRA PRADESH,535220,,,,,,,,,,,,
ANDHRA PRADESH,535221,,,,,,,,,,,,
ANDHRA PRADESH,535240,,,,,,,,,,,,
ANDHRA PRADESH,535250,,,,,,,,,,,,
ANDHRA PRADESH,535260,,,,,,,,,,,,
ANDHRA PRADESH,535270,,,,,,,,,,,,
ANDHRA PRADESH,535273,,,,,,,,,,,,
ANDHRA PRADESH,535280,,,,,,,,,,,,
ANDHRA PRADESH,535281,15%,62%,15%,8%,,,,,,,,
ANDHRA PRADESH,535350,,,,,,,,,,,,
ANDHRA PRADESH,535463,,,,,,,,,,,,
ANDHRA PRADESH,535501,,,,,16%,74%,9%,1%,,,,
ANDHRA PRADESH,535521,,,,,,,,,,,,
ANDHRA PRADESH,535522,,,,,,,,,,,,
ANDHRA PRADESH,535524,,,,,,,,,,,,
ANDHRA PRADESH,535526,,,,,23%,70%,3%,3%,,,,
ANDHRA PRADESH,535527,,,,,,,,,,,,
ANDHRA PRADESH,535546,10%,63%,25%,2%,,,,,,,,
ANDHRA PRADESH,535547,1%,94%,4%,1%,,,,,,,,
ANDHRA PRADESH,535557,,,,,5%,76%,16%,3%,,,,
ANDHRA PRADESH,535558,,,,,,,,,,,,
ANDHRA PRADESH,535568,,,,,,,,,,,,
ANDHRA PRADESH,535578,5%,70%,20%,5%,,,,,,,,
ANDHRA PRADESH,535580,,,,,,,,,,,,
ANDHRA PRADESH,535581,,,,,,,,,,,,
ANDHRA PRADESH,535591,,,,,,,,,,,,
ANDHRA PRADESH,535592,,,,,,,,,,,,
ANDHRA PRADESH,535593,,,,,,,,,,,,
ANDHRA PRADESH,561202,,,,,,,,,,,,
ANDHRA PRADESH,561207,,,,,,,,,,,,
ANDHRA PRADESH,561208,,,,,,,,,,,,
ANDHRA PRADESH,561209,43%,29%,14%,14%,,,,,,,,
ANDHRA PRADESH,561228,,,,,,,,,,,,
ANDHRA PRADESH,563113,,,,,,,,,,,,
ANDHRA PRADESH,563116,,,,,,,,,,,,
ANDHRA PRADESH,563121,,,,,,,,,,,,
ANDHRA PRADESH,563123,,,,,,,,,,,,
ANDHRA PRADESH,563124,,,,,,,,,,,,
ANDHRA PRADESH,563125,,,,,,,,,,,,
ANDHRA PRADESH,563129,,,,,,,,,,,,
ANDHRA PRADESH,563131,,,,,,,,,,,,
ANDHRA PRADESH,563132,,,,,,,,,,,,
ANDHRA PRADESH,563134,,,,,,,,,,,,
ANDHRA PRADESH,563136,,,,,,,,,,,,
ANDHRA PRADESH,563138,,,,,,,,,,,,
ANDHRA PRADESH,563161,,,,,,,,,,,,
ANDHRA PRADESH,572112,,,,,,,,,,,,
ANDHRA PRADESH,572113,23%,62%,8%,8%,,,,,,,,
ANDHRA PRADESH,572116,,,,,,,,,,,,
ANDHRA PRADESH,572124,,,,,,,,,,,,
ANDHRA PRADESH,572127,,,,,,,,,,,,
ANDHRA PRADESH,572132,,,,,,,,,,,,
ANDHRA PRADESH,572133,,,,,,,,,,,,
ANDHRA PRADESH,572135,,,,,,,,,,,,
ANDHRA PRADESH,572136,,,,,,,,,,,,
ANDHRA PRADESH,572137,,,,,,,,,,,,
ANDHRA PRADESH,572141,,,,,,,,,,,,
ANDHRA PRADESH,577529,,,,,,,,,,,,
ANDHRA PRADESH,577537,,,,,,,,,,,,
ANDHRA PRADESH,577538,,,,,,,,,,,,
ANDHRA PRADESH,577540,,,,,,,,,,,,
ANDHRA PRADESH,583102,,,,,23%,65%,3%,10%,,,,
ANDHRA PRADESH,583111,,,,,,,,,,,,
ANDHRA PRADESH,583114,,,,,,,,,,,,
ANDHRA PRADESH,583117,,,,,31%,56%,6%,6%,,,,
ANDHRA PRADESH,583120,,,,,,,,,,,,
ANDHRA PRADESH,583121,,,,,,,,,,,,
ANDHRA PRADESH,583138,,,,,,,,,,,,
ANDHRA PRADESH,584123,,,,,,,,,,,,
ANDHRA PRADESH,584140,,,,,,,,,,,,
ANDHRA PRADESH,584202,,,,,,,,,,,,
ANDHRA PRADESH,602026,15%,58%,3%,24%,,,,,,,,
ANDHRA PRADESH,631201,,,,,,,,,,,,
ANDHRA PRADESH,631202,,,,,,,,,,,,
ANDHRA PRADESH,631206,,,,,,,,,,,,
ANDHRA PRADESH,631207,20%,67%,2%,11%,,,,,,,,
ANDHRA PRADESH,631208,,,,,,,,,,,,
ANDHRA PRADESH,631212,,,,,,,,,,,,
ANDHRA PRADESH,631213,,,,,,,,,,,,
ANDHRA PRADESH,631301,,,,,,,,,,,,
ANDHRA PRADESH,631302,,,,,,,,,,,,
ANDHRA PRADESH,631304,,,,,,,,,,,,
ANDHRA PRADESH,632007,,,,,,,,,,,,
ANDHRA PRADESH,632106,,,,,,,,,,,,
ANDHRA PRADESH,632202,,,,,,,,,,,,
